pos,name,x,y
OL,Nick Becton,-6.15002820776,-8.42031184106
OL,Michael Person,-5.2824537213,-6.1531370593
OL,Stephen Schilling,2.72665508819,4.93971804454
OL,Zack Martin,-3.32879136448,2.49797145385
OL,Billy Turner,-6.17387897133,-2.25043125233
OL,Larry Warford,5.84827406868,3.64011376755
OL,Jake Matthews,-2.85784413299,-2.55790200256
OL,Jonathan Cooper,-8.1757637141,7.56151573586
OL,Kadeem Edwards,2.30966268837,0.723989218515
OL,Daniel Kilgore,-4.07954333302,-3.88793144103
OL,Brandon Fusco,-6.54360137469,-1.32195303821
OL,Eric Herman,3.54847574158,11.2495686444
OL,Charles Leno,-5.53888329779,-6.22514286662
OL,Danny Watkins,8.45455304519,5.21207428732
OL,David Arkin,-1.74519560064,-1.25731953968
OL,Quentin Saulsberry,12.0615518951,3.01838450596
OL,Garrett Gilkey,-7.37250666918,0.52255904219
OL,Joel Bitonio,-11.2434908435,-6.541538015
OL,Jeff Allen,-0.634993737796,0.0466268829976
OL,Jarriel King,-11.8793558922,-5.63186474162
OL,Gabe Ikard,0.639045526454,-3.75150689554
OL,Kevin Hughes,6.32657551032,-2.49267917242
OL,Chris Barker,1.50375347462,3.61109816004
OL,Philip Blake,-3.07188599005,-4.64027938325
OL,Marcel Jones,8.88128698325,-11.1163487503
OL,Manase Foketi,0.635887150645,-0.634737960233
OL,Ray Dominguez,11.7565233895,-2.25809573607
OL,Xavier Su'a-Filo,1.16398272204,-0.538391440778
OL,Tom Compton,-5.57326563776,-7.27013044628
OL,Justin Anderson,-0.919442055115,6.14176712233
OL,Kyle Hix,-3.23011571856,-2.66115907257
OL,Ryan Miller,-0.250139523417,6.27838349982
OL,Kevin Zeitler,-1.44694695991,5.9908879951
OL,Travis Frederick,4.92903942272,-3.82978333139
OL,Bobby Massie,-0.674259205238,-4.06707338836
OL,Nate Potter,1.8757087743,-3.50165014477
OL,Michael Brewster,4.95986163666,4.43010158495
OL,John Moffitt,-0.73912620113,-3.09901310942
OL,Lee Ziemba,6.89815618685,-4.41313343074
OL,Oday Aboushi,4.3168806937,-8.00235870444
OL,John Wetzel,-1.89540000113,-4.31241791974
OL,Weston Richburg,-1.77234828654,-1.21226256782
OL,Zach Fulton,4.12481527091,0.146886016982
OL,Matt Feiler,-2.62965885683,9.86016316529
OL,Jason Weaver,9.2495568195,-0.68685746687
OL,Jordan Mills,1.40397446477,-5.65554108793
OL,Ricky Wagner,0.618939031829,-5.87505088121
OL,Andrew Jackson,3.20569951133,-0.114437269813
OL,Terron Armstead,-12.9844811235,2.26188870817
OL,John Urschel,-1.00073626293,4.03951557102
OL,Travis Bond,5.32119998524,-2.63117277509
OL,Brian Schwenke,-7.15275917126,3.69582295221
OL,James Stone,-1.60897265524,-4.27711800332
OL,Jamaal Johnson-Webb,11.9554654515,-6.25094697637
OL,Taylor Dever,2.91451466363,-7.36051562994
OL,Antoine McClain,11.4059937855,-4.3795463413
OL,J.C. Tretter,-8.41471079223,1.31706190284
OL,Senio Kelemete,2.07822604333,-4.43253455857
OL,Mitchell Schwartz,12.5034168064,-0.0217371615759
OL,Eric Fisher,-14.2743029277,-2.05677550254
OL,Clint Boling,-2.00341379328,1.73418824486
OL,David Bakhtiari,0.364046915902,2.34960706569
OL,Brandon Washington,0.503767577015,2.39309219996
OL,JaWuan James,-0.132351084906,-3.96785113455
OL,John Cullen,0.163358963749,-2.84610646379
OL,Jordan Devey,5.15583054856,-3.71444396633
OL,Earl Watford,-5.52967719069,-3.15593869671
OL,Anthony Castonzo,-4.44035110255,1.1949323592
OL,Taylor Lewan,-15.2515410438,-0.255979692108
OL,Zane Taylor,-3.56729628741,6.5820779307
OL,Braden Brown,1.1001901242,0.430306083737
OL,Matt Stankiewitch,9.43629244131,3.41460358806
OL,Cordy Glenn,7.72252044368,7.13679758888
OL,Zach Williams,-2.68610156435,1.59150591587
OL,Matt Paradis,0.422876683656,-2.77392416176
OL,Rodney Hudson,6.23073731723,2.66516806102
OL,Josh LeRibeus,4.70067435724,4.35627741028
OL,Russell Bodine,-11.2074856166,14.0246554067
OL,Travis Swanson,9.55057115628,-3.76625068474
OL,Joseph Barksdale,-2.63598470757,2.647497003
OL,Zebrie Sanders,0.926171594681,2.46097475986
OL,Jonotthan Harrison,-10.1173657955,-1.08474229712
OL,Dakota Dozier,2.83526506375,-2.191682631
OL,DeMarcus Love,4.08776414858,2.16151754999
OL,Amini Silatolu,-6.81706654419,0.631830963096
OL,Ryan Groy,-6.01997463203,-1.17385391812
OL,Vinston Painter,1.90947462351,6.73819379143
OL,Kris O'Dowd,-5.8894449515,3.90504801406
OL,Mark Jackson,12.87297814,-2.93286894728
OL,David Quessenberry,-10.3293660863,-3.22233251843
OL,James Brewer,1.85421025513,-0.392680128833
OL,Brandon Thomas,0.69570956613,9.5613276165
OL,Conor Boffeli,2.07143595336,-4.43619312434
OL,Gabe Jackson,-7.55379450362,2.55077532235
OL,Keith Williams,9.2789185705,-0.724792531561
OL,Ronald Leary,-3.80662047059,3.40349589893
