name,pos,height,weight,wonderlic,40yd,benchpress,vertleap,broadjump,shuttle,3cone
John Cullen,OT,77.0,297.0,,5.28,23.0,27.0,102.0,4.59,7.58
Lavonte David,OLB,73.0,233.0,,4.57,19.0,36.5,119.0,4.22,7.28
Demario Davis,OLB,74.0,235.0,,4.49,32.0,38.5,124.0,4.28,7.19
Austin Davis,QB,74.0,219.0,,4.69,0.0,31.0,109.0,4.11,6.73
David DeCastro,OG,77.0,316.0,,5.32,34.0,29.5,98.0,4.56,7.3
Taylor Dever,OT,77.0,298.0,,5.4,18.0,28.0,100.0,4.9,7.49
Drake Dunsmore,FB,74.0,241.0,,4.63,21.0,35.5,117.0,4.03,6.73
Michael Egnew,TE,77.0,252.0,,4.52,21.0,36.0,131.0,4.32,7.03
Bradie Ewing,FB,73.0,239.0,,4.73,14.0,36.5,120.0,4.16,7.14
Hebron Fangupo,DT,73.0,323.0,,5.12,36.0,31.5,99.0,4.62,7.94
Antonio Fenelus,CB,68.0,190.0,,4.57,20.0,32.0,109.0,4.2,6.8
Darius Fleming,OLB,74.0,245.0,,4.71,27.0,33.5,114.0,4.28,7.03
Jamell Fleming,CB,71.0,206.0,,4.43,23.0,34.0,125.0,3.97,6.71
Marcus Forston,DT,73.0,301.0,,5.05,35.0,28.0,105.0,4.79,7.64
Justin Francis,DE,74.0,268.0,,4.9,23.0,32.0,109.0,4.35,7.05
Terrence Frederick,CB,70.0,187.0,,4.44,16.0,35.0,121.0,4.03,6.59
Chris Galippo,ILB,74.0,241.0,,4.73,19.0,29.5,107.0,4.1,6.9
Garth Gerhart,C,73.0,305.0,,5.38,25.0,30.5,96.0,4.65,7.63
Stephon Gilmore,CB,73.0,190.0,,4.38,15.0,36.0,123.0,3.94,6.61
Chris Givens,WR,71.0,198.0,,4.35,19.0,33.5,118.0,4.23,6.97
Cordy Glenn,OT,78.0,345.0,,5.08,31.0,23.5,93.0,5.0,8.13
T.J. Graham,WR,71.0,188.0,,4.34,8.0,33.5,120.0,4.18,6.77
